number_of_components,individual_explained_variance,cumulative_explained_variance
1,0.23301753769860037,0.23301753769860037
2,0.054082621789999785,0.2871001594886001
3,0.03812595036626224,0.3252261098548624
4,0.02361771744470259,0.348843827299565
5,0.023148617328183446,0.37199244462774844
6,0.020690688542873665,0.3926831331706221
7,0.020437618167910943,0.41312075133853304
8,0.019799129074499752,0.4329198804130328
9,0.01937337729310281,0.4522932577061356
10,0.018871176793088838,0.47116443449922446
11,0.018782557813880177,0.4899469923131046
12,0.018206629246376237,0.5081536215594809
13,0.01772600063057877,0.5258796221900596
14,0.01715423807274,0.5430338602627995
15,0.016947750312468285,0.5599816105752679
16,0.0166686683073157,0.5766502788825836
17,0.016371304123209696,0.5930215830057932
18,0.0160932368571598,0.609114819862953
19,0.015835757569465106,0.6249505774324181
20,0.015493937199241484,0.6404445146316596
21,0.015002380841263489,0.6554468954729231
22,0.014943539986532042,0.6703904354594552
23,0.014832827295952653,0.6852232627554079
24,0.014729027756792438,0.6999522905122003
25,0.01445308248910569,0.714405373001306
26,0.014298943787485837,0.7287043167887919
27,0.014094403908338203,0.74279872069713
28,0.013596316694029496,0.7563950373911595
29,0.013323071293368202,0.7697181086845277
30,0.013263197753893225,0.7829813064384209
31,0.013147858483736084,0.796129164922157
32,0.0128161704258933,0.8089453353480504
33,0.012617069737592282,0.8215624050856426
34,0.012404964808273123,0.8339673698939157
35,0.012002680299311726,0.8459700501932275
36,0.011978552590185949,0.8579486027834134
37,0.011647387492654116,0.8695959902760676
38,0.011378277358219857,0.8809742676342874
39,0.011022715154161854,0.8919969827884493
40,0.01092852383292677,0.902925506621376
41,0.010782848173280136,0.9137083547946562
42,0.010393040193692988,0.9241013949883492
43,0.010220921149139348,0.9343223161374885
44,0.010012938936730574,0.9443352550742191
45,0.009918374421750212,0.9542536294959694
46,0.009631611842178298,0.9638852413381477
47,0.009340425926548605,0.9732256672646963
48,0.009009926087725275,0.9822355933524216
49,0.008833097177431986,0.9910686905298536
50,0.008658520460216224,0.9997272109900698
51,0.00027278900993045257,1.0000000000000002
