,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
ALGO,0.27807212526023195,0.07896850226636444,0.11945734092837788,-0.03358103788407807,0.026002150296632286,0.0015009840290960469,0.023334207331684145,0.026386858173259427,0.010017645719396116,0.034668319660264624,0.034073777018654876,0.0012169332349339825,0.0034989712477703997,-0.03326572062864867,0.006188635677104279,0.0503124395424581,0.013063675907453873,-0.04996658803584893,-0.008220101596056555,0.02680819069666822,0.043742259354733526,-0.03571807713940135,-0.023743151445878224,0.010282316977463147,-0.0008672556035202621,-0.01065238551390609,-0.0036522140667155792,-0.015467467942150127,-0.0386575780004038,0.056611769763861244,0.017026264488647153,0.03968034179595763,0.015370369723797808,0.01450348028164054,-0.028062944222417154,-0.00018704431247542477,0.03772049156627031,-0.0073702772785690035,0.010764688870713208,-0.042082261016335366,0.0036302040351183914,0.0302809448323548,0.022789207103161666,-0.029790052731563085,-0.025845282798851683,0.01814139127814855,-0.002416595688958905,0.0020786968049811973
AENO,0.14314272102274095,-0.1468165135409115,0.0008215017619819631,-0.14287103923804195,-0.14346757170690608,-0.17561466339889154,-0.08442118577420538,-0.047542932461048626,-0.11604876749030746,0.2963875406008049,0.10534746926935996,0.06644785516187832,-0.0975892405773127,0.04798607488903859,-0.1411378149469075,-0.10929951503287785,0.14529156157931516,0.006222442891449167,-0.25318967821454236,0.11250214972361838,-0.2578423730885851,0.025719227565215497,-0.08088276975910452,0.059552079883707094,-0.041242130351871735,0.06811629499502857,-0.24200346254383515,0.01278932040981728,-0.12154669256948555,-0.07671700216109885,0.166260398415233,0.16798750467129211,-0.13124882275988464,0.23214318877844228,-0.007407650203113304,-0.2515489492741403,-0.14456631730623706,0.01785724686779012,-0.09156257154767347,0.008513379521014145,-0.05680952499329066,-0.1098543059062778,0.03796754407422529,-0.041831445435785035,0.4125987872999863,0.029404017448175387,0.19979312413586145,-0.06026290102674254
LSST,0.13900714597696223,-0.12946746595634803,0.0035350984204535144,0.0021260410300394986,0.0075310772090969366,-0.03694658046180398,0.11290849448349811,0.010879507833564669,0.20454328193180946,-0.1939104083791584,0.21776485941241572,-0.24749383821180607,0.24040919446559023,0.29765610172291734,0.029481342038587356,0.032915359423416876,-0.04336632812125703,-0.18658562722908364,0.20865598699987467,0.12404379088627385,-0.13245830557922866,0.06434621232898803,0.24135405245832472,0.1361397790628619,0.02638844435697958,0.10362165037257987,-0.07955700101092884,0.021219982086996513,-0.14147767040085468,0.11837049153142092,0.1436404846445927,-0.21107209586981415,-0.028882963904679836,-0.18081387968715906,-0.17322590685085745,-0.22764480532784628,0.034112221956520535,0.08729787625291356,-0.07150817701320206,0.2084082951463657,-0.02165333797381977,-0.13242536921335538,-0.05586336531169878,-0.2394394823935182,-0.046530626417943796,0.02190131799852156,0.1037911609208758,0.003985454863153614
SRNA,0.1650102548395389,-0.14320363704328584,0.026503397809405558,0.20400008452277138,0.046733419042474945,0.0246520579532093,-0.014791778931898487,0.054124954801013946,-0.1317892845782607,-0.022605478532206243,0.05615938727769099,0.06642869550458726,0.09628789249444497,-0.07021153603501688,-0.09958798252700621,-0.1303414678856412,-0.004417747207325665,0.09216218042658211,-0.14379246697779252,-0.08581426916754654,-0.10445611383194636,-0.15991885614244974,0.0870244613971923,-0.1580134591106439,-0.06457937792809382,0.18595924753026474,-0.08170064154412938,-0.11622922776895578,0.11023996761296784,-0.18218351271000138,0.1311941498397748,-0.05515091668921075,-0.19007652351235813,-0.06347207551565404,-0.1209666359725837,-0.007598917665011383,-0.2719716180357223,0.3601325615341583,0.26214995684036907,-0.173543372125833,0.12523367837591512,0.2208972067177878,-0.13919366988813356,0.007357783512103591,-0.2757609073296605,0.09388265597280152,-0.04783644276998227,-0.07393137247787954
ELLT,0.13493639081882733,0.124412277560139,-0.08736528268115658,0.02935539989715129,-0.26758491187767547,0.21750262706738774,-0.06566055932614008,-0.12818272748712803,-0.25651663445077644,0.10807010688841412,-0.008587922408242313,0.027513386095459075,-0.010339201498804707,0.008384465577182,0.06950675401560644,-0.3088073732504802,-0.07157669111287476,-0.1738524786966001,0.07752856576309339,0.05983086170903139,-0.05655950443869805,0.07300133438763214,-0.151869192494145,0.15864919042634967,-0.21522785099013023,-0.046348798637654905,0.16841317971674818,0.11167802414595432,-0.0788618013968871,0.12801979773362474,-0.028817595771544992,-0.3114656922307563,0.05217510798524061,-0.095718145384513,-0.25863010155597715,-0.1604930072256272,0.17283673704098185,-0.11448510701718932,0.17358741013588166,-0.21854590583172837,0.03907566138124215,0.08709347448418059,-0.07417829420627864,0.22205402013096062,0.03690707829446641,-0.05690949468403711,0.1319412570642369,0.01838260805425415
AMRP,0.14529456717284012,-0.09958048524631202,0.0006662200287235699,-0.18704844017003036,-0.19094412666425586,0.15921860473065916,-0.06813101577109791,-0.02723840309113273,-0.25622621412799157,-0.041087210669239746,-0.04578319218738263,-0.0038385731861015496,-0.1875722847618806,-0.1286541201517264,0.010063910986113443,0.08162155395347977,0.09443508134541798,0.0005170590967097528,0.22620740739532594,-0.06715708334750609,0.30793046037611144,-0.01284237974322811,0.0988137559200393,0.07070559873517208,-0.19750355116318516,0.26068003908896425,-0.06439736298227978,-0.23985711191911585,-0.05176489476101578,-0.3007204174797664,0.060094118529055586,0.09015778224057049,0.07604282524686512,0.15484723613073037,-0.09412478802740655,-0.07852750739968692,0.12516910515301527,-0.07371663849111534,-0.0018802891297349021,0.18597879585159838,0.040236668099071,-0.23698554112159884,-0.10811394742929815,-0.16606831126168034,-0.2505089404529368,0.05289354784337182,0.0129945573531367,-0.08402011189010211
OTCS,0.1098941913415877,-0.10893078787280674,0.029562212218312012,0.15361161088586775,0.10138771902996883,0.4829738120417206,0.19686409248463094,0.1474676008121138,0.001533781028841876,0.15427123740920984,-0.005322991897076859,-0.14444655669281328,-0.23992076022703585,0.022257591110199804,0.07388276578232669,-0.016935897487945252,-0.155776039185994,-0.3305478920709771,-0.10040278983601626,0.09639571907035789,0.07874519771378272,-0.17372345850041054,-0.049660704602033715,-0.007243618847811444,0.04656006558799944,0.06953432929123018,-0.23797984231961428,-0.17393386770574115,0.1996550134286999,0.19820873994928506,0.08554291217524286,0.14542985644056738,-0.042334125031258156,-0.04613723051361802,0.21956177193881204,-0.02318447926378172,0.1939990744414704,-0.01657270055460417,-0.04962362126456116,-0.06419325391497456,-0.011361441822216845,0.08356387417893589,0.02433870669897841,-0.07122787391804687,0.12302007782459956,-0.039545975772008995,-0.05936608958928866,-0.03206690175869361
HETT,0.14737060564970933,-0.1110341433649452,0.021680153708997653,0.18039706770019903,-0.06913772389367467,0.11406948088109602,0.19466334753689896,0.01295537316526598,0.08367435888445328,-0.09091556209686938,0.058890448287150086,0.11621083523806777,0.1494923329540337,0.007788826857531745,-0.19018109750324316,-0.05035564518914185,-0.30091524703397354,0.29194982016452603,-0.1364767359344905,0.04479753282545315,0.060604316561808674,0.18876143986204028,-0.11352945041166672,0.008713251216300517,-0.03943876357328813,-0.11949812394164314,0.18679273257884002,0.000916401219702118,-0.00015566952179046177,-0.03208431480305176,-0.03894812896160356,0.3862872674803369,-0.19691178460952158,-0.007728756120824419,-0.2611038578835551,0.061678715978547176,0.20580333228240263,-0.08046201471044483,-0.16159062172113403,0.06651031591749336,0.14999128836641543,0.020826191302467545,-0.18763268051297877,-0.10161372980217295,-0.0012490850776042035,-0.18972033310787867,0.1721012047849735,-0.05533741670881553
HUXZ,0.14485346716787617,-0.09209706671109871,0.012518990461238439,-0.14342011286541687,-0.0032402823882571696,0.07861418058293243,-0.15948244146031168,0.058142510862122326,0.16363874768587625,-0.06484541108739118,-0.002772346621416993,-0.06325929412560896,0.34007786594374934,-0.3288220196546411,0.22038151966255223,0.011913927602497926,0.04432960977438454,0.03387122192396609,0.07460080773608396,0.20753603233436616,0.003426766512855613,-0.09290923064876525,-0.10856540159684425,-0.1139977510779166,0.10328134743506698,0.11162679683989653,0.3067737785400199,-0.1289106600420455,0.11153892776191346,-0.06807533401310395,0.12347319453451895,-0.18627683144897322,-0.25799089261072494,0.15722259578364645,0.2592694181340202,-0.08601216740735793,0.014056859456904068,-0.09394392215301724,0.006402971168478042,0.10275990676469801,-0.03152884752335578,0.01682930984659521,-0.20228820095305408,0.09800566457933076,0.20918352756333755,-0.15855608135869623,-0.012642222969995015,-0.05669450797504019
DUCT,0.1539083761000145,-0.08740958775211302,-0.04214335082905389,0.12664272035073576,0.14382576615621123,0.023072849881766732,-0.07233464009839977,0.09288024729906118,-0.1404627468764339,0.1680424619247151,0.11324468648618273,-0.16289285025158334,-0.0549225928804132,0.21434461420785056,0.0676690883810574,-0.016834405436486538,0.3097591699918644,-0.010673863304892428,-0.16578621783001685,-0.05338771135447162,-0.07333830576966285,0.08422162690207152,0.10616272323992273,-0.13658717793127187,-0.20265906314387333,-0.22488430177284321,0.17219968035880645,-0.14554265681426234,-0.08593805860129394,0.1091912838446574,0.05225102856239829,-0.08481485603315546,-0.09542126693640679,-0.052317497353460286,0.08339734943755311,0.3310586906339448,-0.15539714832269552,-0.35778951090313,-0.054688808922832836,0.0942007426964344,-0.1783105137582819,-0.012616938384482296,-0.1507552847257379,-0.022472544330068445,-0.19797162991889541,-0.01835956481609277,0.13720047357088255,-0.15688932833574254
