asset,feature_mode,number_of_features,selected_components,variance_explained,cross_validation_rmse,pca_rmse,pca_mae,pca_r_squared,pca_directional_accuracy,pca_prediction_correlation,zero_rmse,previous_return_rmse,ridge_rmse,ridge_r_squared,ridge_directional_accuracy,pca_beats_zero,pca_beats_previous_return,pca_beats_ridge,strategy_total_return,strategy_sharpe,average_turnover
AENO,all_assets,51,5,0.3730132634892758,0.018301721609857265,0.017681206449801024,0.014422338400266637,-0.019137275078769056,0.535,0.019813912571860402,0.017551384677863886,0.02287313238464713,0.0184630507820652,-0.11126036422792085,0.51,False,True,True,-0.040392635505985375,-0.046778674758107874,0.855
LSST,all_assets,51,1,0.23476057584962332,0.022883904784249613,0.024522378909754165,0.01953794135530279,-0.008111681675497584,0.51,0.04098614234492168,0.02454177230628407,0.033359928760185543,0.02489400886792792,-0.03889852507788372,0.5,True,True,True,0.07963524056742366,0.4413353395939281,0.925
SRNA,all_assets,51,8,0.43606744290671073,0.016055513597626702,0.01613319585467964,0.012921768539284853,-0.037497734521450665,0.45,-0.01209719621686152,0.01588846727149749,0.0234365187353688,0.016188671190073143,-0.044645046195828986,0.505,False,True,True,-0.2107339024219742,-1.0554609003892361,0.725
ELLT,all_assets,51,1,0.23476057584962332,0.01753512345400022,0.016925120293587226,0.013095513372522665,-0.005968459897417455,0.505,0.06683404189362227,0.016973598462544894,0.02386302012165452,0.01726023714385918,-0.04619912634750478,0.465,True,True,True,-0.014490848712383264,0.06610611000131725,0.985
AMRP,all_assets,51,10,0.4749952881793643,0.027091384587088943,0.02802048463354667,0.022978837507598892,-0.01751846581650196,0.51,0.09921444181764667,0.02782167632351414,0.03920573316067936,0.02836814742797865,-0.04292472886614718,0.565,False,True,True,0.21796820109645965,0.7821707263125282,1.025
OTCS,all_assets,51,3,0.3265312012314527,0.027456010546026623,0.02633583956320652,0.021671134951887026,-0.01275874080315309,0.5,-0.010506104482992825,0.02620081886978248,0.0371347089123082,0.027334740009253792,-0.09104222678360752,0.49,False,True,True,-0.07766042946925367,-0.03705335388893465,0.975
HETT,all_assets,51,2,0.28837192168513626,0.015218234437980285,0.01632817778948628,0.013221248327551338,-0.0075182205740194075,0.49,-0.027433773210005112,0.016275182479522726,0.021660334788565855,0.01656858258679513,-0.03740462912592846,0.515,False,True,True,-0.07838859136104692,-0.2681942975375407,0.885
HUXZ,all_assets,51,5,0.3730132634892758,0.0219467109861337,0.02067461156643722,0.016560703260267536,-0.009959475743383628,0.49,0.050672718634597845,0.02057939689593025,0.029408659081761095,0.021162360580514617,-0.05817488714600394,0.525,False,True,True,-0.09184782748238485,-0.2083035419286085,1.065
DUCT,all_assets,51,1,0.23476057584962332,0.020970637147213925,0.020994493151528206,0.016595598397485145,-0.0076856315680178255,0.475,-0.04238902593958709,0.020983909923226917,0.030593876767502977,0.021597624762324335,-0.06641503703052076,0.53,False,True,True,-0.06424761865558004,-0.0839952768898466,0.905
SMAH,all_assets,51,1,0.23476057584962332,0.02168372862415129,0.022085363897979462,0.017692284882779165,0.0032384646688312646,0.55,0.09305374630373331,0.022160044625512874,0.03217984545391712,0.02287122937777977,-0.06895930099151215,0.525,True,True,True,0.2507053643609216,0.9769511857940272,0.025
