,avg_daily_return,volatility,reward_to_risk
MMBT,0.002309046824367395,0.04114306120013011,0.05612238751841083
EELT,0.0009513532968290243,0.034314932085478075,0.02772417833901623
RCRI,-1.2496926809323013e-05,0.033719490482642056,-0.0003706143429348707
AETS,-0.000521903572962363,0.03366620981609757,-0.0155022966889731
NAYO,5.3973519873499704e-05,0.033037476159289904,0.0016337059045693093
RTTH,-6.553788465187875e-05,0.03207293079771479,-0.0020434018040081437
ULXY,0.00024069740546767037,0.030933439811656038,0.007781139340894546
CTGI,0.0008821208033016773,0.030650359224185263,0.028780113043687352
HRND,-0.0013558048732297049,0.028260743005781897,-0.047974848819520396
AMRP,-0.00019136507780834772,0.027659478786892098,-0.006918607515447332
OTCS,0.0018863629038918667,0.02672489334569522,0.07058448763447422
SPLZ,-0.0012653069237263934,0.02551497570118776,-0.04959075558388604
FCSG,0.000901366573960296,0.02502529788311779,0.03601821557410364
RRES,0.0013394309387400494,0.024545434081231072,0.05456945411139661
EAFC,-0.0015908794735005637,0.023075035228611346,-0.06894375058322728
MHRM,-0.0015344768813933911,0.022843819454949846,-0.06717251834438297
NGTE,-0.0005316486647715164,0.022633415892334918,-0.023489546045569094
CCNS,-0.0006577762892975212,0.022313756231908996,-0.02947851013792521
HRET,5.135389925631551e-05,0.022300717922247634,0.002302791301847904
EORC,-0.0007989582628708342,0.022297226386208065,-0.03583218150240557
MSDP,-0.0011245083223385877,0.022235118353244227,-0.050573525378807604
GARI,-0.0006324818916504055,0.022113608099649965,-0.028601478727499786
HUXZ,-0.0010222842790504369,0.021365847929812453,-0.047846651460249835
SMAH,0.0007450433799283167,0.021336093226420386,0.03491939091294056
MDGI,0.00061345454995118,0.021205441150601523,0.028929110486049875
NWIG,-0.0009771623678213191,0.021200237853601665,-0.04609204738970941
LSST,-0.00031968542701901796,0.021141542971223063,-0.015121196568015858
DIHO,-0.0003053269828735134,0.020950579879061494,-0.014573676940496737
DUCT,-0.0008042112299029245,0.020931047127069825,-0.038421930112748616
ALUT,-0.0004680560020539852,0.02085016465052009,-0.022448551841163036
SRTX,-0.0007800524637250768,0.02019013494783701,-0.03863532689307977
ANSO,0.0007855400248717775,0.02017152558470945,0.038943015072059675
ACAC,-0.0009424462765644229,0.01981911820005324,-0.047552381849253575
AGVF,-0.00083606382147821,0.01971880886516151,-0.042399306529885675
MTNS,-0.00024000286363134115,0.019377085901185104,-0.012385911114563546
AENO,-0.0010866006703071137,0.018665244132497674,-0.05821518661067259
IHOZ,-0.00012534645568824834,0.018577704250365434,-0.006747144534060645
NPCK,-0.001325212308271843,0.01806925383712214,-0.07334073228576148
HTRK,0.00020814594327596238,0.017753594788331956,0.011724157600620714
ELLT,0.0006146767649466053,0.01730834313447914,0.03551332211123874
ACIX,0.00039619041303752783,0.01654667057088254,0.02394381463874134
CUBO,0.0008408426913045516,0.016160457063535114,0.05203087313674138
SRNA,-0.0009990564091196651,0.015745579016639213,-0.06344996319690166
FWWG,-0.0006164553045941622,0.01527603387209693,-0.04035440807186046
ITPA,0.000485653566392584,0.015271566026614893,0.03180116338731728
FARS,-0.0012144151846406202,0.014911146899092155,-0.08144344582337648
HETT,9.123813742325798e-06,0.014806293668347962,0.0006162118587334358
ILVX,0.0005638079023221795,0.013832460031468617,0.040759770932974025
BLBT,-0.0007291694520710364,0.01230229983426703,-0.059270986880030005
BENI,-0.0003794930235872853,0.011268933207800107,-0.03367603805874087
ALGO,-0.00022707512921090627,0.009927635239660396,-0.02287303307677469
